year_of_birth,gender,education_level,social_stratum,nationality,department,municipality,id_last_four,last_name_initial,form,score,video,fake_news_a,fake_news_b,fake_news_c,fake_news_d,fake_news_e,fake_news_f,fake_news_g,fake_news_h,fake_news_i,fake_news_j,fake_news_k,fake_news_l,fake_news_m,fake_news_n,fake_news_o,fake_news_p,fake_news_q,fake_news_r,fake_news_s,tweet_a_lack_of_information,tweet_a_report,tweet_b_lack_of_information,tweet_b_report,headline_1,headline_2,headline_3,headline_4,headline_5,headline_6,headline_7,headline_8,ie_confidence_a,ie_confidence_b,ie_confidence_c,ie_confidence_d,ie_confidence_e,ie_confidence_f,ie_confidence_g,ie_confidence_h,ie_confidence_i,ie_discrimination_a,ie_discrimination_b,ie_discrimination_c,ie_discrimination_d,ie_discrimination_e,ie_discrimination_f,ie_ambiguity_tolerance_a,ie_ambiguity_tolerance_b,ie_ambiguity_tolerance_c,ie_ambiguity_tolerance_d,ie_ambiguity_tolerance_e,ie_ambiguity_tolerance_f,ie_ambiguity_tolerance_g,ie_ambiguity_tolerance_h,ie_ambiguity_tolerance_i,ie_ambiguity_tolerance_j,ie_dehumanization_left,ie_dehumanization_center,ie_dehumanization_right,duration,date
1976,Hombre,Bachillerato,Estrato 2,Colombia,Bogotá D.C.,Bogotá D.C.,5417,K,Confianza,1,No,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,,,,1,,1,,5,5,5,1,1,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,5,"Educación,Agitación,Compasión,Cordialidad,Vergüenza,Timidez","Trabajo,Inquietud,Tensión,Amistad,Sospecha,Orgullo","Sorpresa,Amistad,Trabajo,Disciplina,Inquietud,Impresión",,
1994,Hombre,Primaria,Estrato 2,Colombia,Bogotá D.C.,Bogotá D.C.,1,F,Tolerancia a la ambigüedad,4.1999998,No,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,,,,,1,1,,1,5,5,5,1,1,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,"Trabajo,Emoción,Vergüenza,Inquietud,Educación,Disciplina","Vergüenza,Dedicación,Nostalgia,Emoción,Impresión,Sospecha","Compasión,Emoción,Trabajo,Extroversión,Nostalgia,Impresión",,
2000,Mujer,Bachillerato,Estrato 2,Colombia,Bolívar,Cartagena,1236,S,,,No,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,1,0,1,0,,,,1,,1,,1,3,3,4,1,1,2,3,1,2,3,4,3,3,4,3,2,3,2,2,2,2,2,4,3,3,"Inquietud,Disciplina,Trabajo,Orgullo,Dedicación,Compasión","Trabajo,Aburrición,Orgullo,Arrepentimiento,Emoción,Inquietud","Trabajo,Compasión,Arrepentimiento,Educación,Sospecha,Imprudencia",,
1994,Hombre,Técnico / Tecnológico,Estrato 2,Colombia,Cundinamarca,Cajicá,4656,M,Discriminización,.60000002,No,3,3,4,4,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,1,1,1,1,1,,1,,,1,,,3,3,3,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Cordialidad,Extroversión,Disciplina,Trabajo,Orgullo,Dedicación","Impresión,Extroversión,Orgullo,Vergüenza,Agitación,Tensión","Agitación,Dedicación,Vergüenza,Tensión,Nostalgia,Compasión",,
1992,Mujer,Técnico / Tecnológico,Estrato 3,Colombia,Bogotá D.C.,Bogotá D.C.,3975,L,Deshumanización,1.67,No,4,4,4,3,4,4,4,4,3,4,3,4,3,3,4,3,4,4,4,1,0,0,1,,1,1,,,,,1,3,3,3,1,1,3,1,1,3,1,1,1,1,1,1,4,2,2,5,3,2,5,3,4,3,"Vergüenza,Extroversión,Sospecha,Tensión,Compasión,Inquietud","Arrepentimiento,Sospecha,Impresión,Nostalgia,Aburrición,Emoción","Arrepentimiento,Impresión,Amistad,Trabajo,Orgullo,Sospecha",,
1996,Mujer,Técnico / Tecnológico,Estrato 3,Colombia,Bogotá D.C.,Bogotá D.C.,2314,L,Tolerancia a la ambigüedad,2.5999999,Sí,2,2,3,3,3,2,2,2,2,2,2,3,2,1,3,3,3,2,2,0,0,0,0,1,,1,1,,,,,1,2,2,1,1,1,1,1,1,2,2,2,3,2,4,2,2,2,2,3,3,4,2,2,3,"Amistad,Sorpresa,Educación,Emoción,Trabajo,Arrepentimiento","Amistad,Aburrición,Compasión,Impresión,Inquietud,Dedicación","Vergüenza,Sospecha,Extroversión,Nostalgia,Cordialidad,Educación",,
1994,Mujer,Bachillerato,Estrato 1,Colombia,Bogotá D.C.,Bogotá D.C.,4877,C,,,No,4,5,4,3,3,3,4,3,4,3,3,2,4,4,3,4,4,5,5,1,0,1,1,,,,1,1,,,1,4,4,4,0,1,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Aburrición,Nostalgia,Cordialidad,Sospecha,Vergüenza,Compasión","Educación,Compasión,Emoción,Tensión,Vergüenza,Dedicación","Impresión,Agitación,Dedicación,Sospecha,Sorpresa,Vergüenza",,
1990,Mujer,Bachillerato,Estrato 1,Colombia,Bogotá D.C.,Bogotá D.C.,3484,C,,,No,4,5,5,4,5,4,3,3,5,3,4,4,5,4,4,3,5,5,3,1,0,1,1,,,1,,1,1,,,5,5,5,1,1,5,4,4,5,5,5,5,5,5,4,4,5,4,4,4,4,4,5,4,5,"Dedicación,Cordialidad,Educación,Orgullo,Tensión,Imprudencia","Impresión,Inquietud,Extroversión,Orgullo,Sospecha,Sorpresa","Educación,Emoción,Dedicación,Trabajo,Orgullo,Arrepentimiento",,
1954,Hombre,Título universitario,Estrato 3,Colombia,Bogotá D.C.,Bogotá D.C.,1352,T,Discriminización,,Sí,3,1,1,1,2,3,1,2,2,3,4,3,1,1,2,1,1,2,3,0,0,0,0,1,1,,,,,,1,1,1,1,1,1,2,1,1,1,3,1,1,2,3,4,2,2,1,3,4,3,3,3,3,3,"Educación,Imprudencia,Agitación,Nostalgia,Sorpresa,Trabajo","Trabajo,Sorpresa,Sospecha,Tensión,Inquietud,Imprudencia","Arrepentimiento,Tensión,Cordialidad,Sorpresa,Amistad,Educación",,
1943,Mujer,Técnico / Tecnológico,Estrato 5,Colombia,Bogotá D.C.,Bogotá D.C.,2514,G,Deshumanización,1.67,No,3,1,2,2,2,2,2,2,2,2,1,2,1,2,2,2,1,2,2,0,0,1,0,1,1,,,,,1,,3,3,1,0,0,1,2,4,3,2,1,1,3,3,2,2,3,4,2,2,2,3,2,2,3,"Nostalgia,Tensión,Vergüenza,Imprudencia,Compasión,Trabajo","Vergüenza,Dedicación,Inquietud,Cordialidad,Sospecha,Amistad","Compasión,Sospecha,Orgullo,Impresión,Aburrición,Cordialidad",,
1994,Hombre,Técnico / Tecnológico,Estrato 3,Colombia,Bogotá D.C.,Bogotá D.C.,4222,T,Confianza,,Sí,1,2,3,2,1,2,2,2,2,2,3,2,1,1,1,1,2,2,2,0,0,0,0,,,1,,1,,1,,1,2,2,0,0,2,1,2,3,1,2,2,2,3,3,3,3,2,3,3,1,1,2,2,2,"Sospecha,Imprudencia,Timidez,Sorpresa,Disciplina,Vergüenza","Vergüenza,Compasión,Trabajo,Aburrición,Disciplina,Inquietud","Timidez,Dedicación,Impresión,Arrepentimiento,Educación,Vergüenza",,
1996,Mujer,Bachillerato,Estrato 1,Colombia,Cesar,Valledupar,406,C,Discriminización,.63333333,No,3,4,3,4,4,3,3,3,4,3,3,4,3,3,3,3,3,4,3,0,1,1,0,,,,1,1,,1,,3,3,3,0,1,3,2,3,2,2,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,"Emoción,Imprudencia,Agitación,Arrepentimiento,Educación,Sorpresa","Trabajo,Emoción,Timidez,Nostalgia,Cordialidad,Tensión","Trabajo,Disciplina,Dedicación,Vergüenza,Nostalgia,Amistad",,
1996,Mujer,Bachillerato,Estrato 1,Colombia,Cesar,Valledupar,406,C,Deshumanización,2.6700001,No,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,1,1,1,1,1,1,,,,1,,,3,3,3,0,1,3,3,3,3,4,3,3,3,3,3,4,3,3,3,4,3,3,3,3,3,"Aburrición,Compasión,Vergüenza,Disciplina,Dedicación,Imprudencia","Disciplina,Trabajo,Cordialidad,Sorpresa,Orgullo,Timidez","Disciplina,Tensión,Sorpresa,Impresión,Vergüenza,Agitación",,
1996,Mujer,Bachillerato,Estrato 1,Colombia,Cesar,Valledupar,406,C,,,No,3,3,3,3,3,3,3,3,4,3,3,3,3,4,3,3,3,3,3,1,1,1,1,1,,,,1,1,,,3,3,3,0,1,3,3,4,3,3,3,3,3,3,4,3,3,3,4,3,3,3,4,3,3,"Nostalgia,Sorpresa,Extroversión,Sospecha,Compasión,Impresión","Compasión,Timidez,Tensión,Arrepentimiento,Inquietud,Sorpresa","Cordialidad,Tensión,Arrepentimiento,Dedicación,Compasión,Nostalgia",,
1996,Hombre,Título universitario,Estrato 3,Colombia,Bogotá D.C.,Bogotá D.C.,6535,J,Confianza,.63,No,2,2,1,5,2,3,3,4,3,4,4,1,5,3,2,5,2,4,5,0,0,1,0,,1,,1,1,,,,4,1,3,0,1,2,3,1,3,2,2,3,2,1,1,5,1,5,4,2,3,1,4,3,3,"Timidez,Imprudencia,Aburrición,Disciplina,Vergüenza,Inquietud","Cordialidad,Inquietud,Amistad,Impresión,Aburrición,Vergüenza","Disciplina,Sorpresa,Timidez,Cordialidad,Orgullo,Imprudencia",,
1996,Mujer,Bachillerato,Estrato 1,Colombia,Cesar,Valledupar,406,C,Discriminización,.60000002,No,3,3,3,3,4,3,4,3,4,3,4,3,4,3,3,4,3,3,3,1,1,0,1,,,1,1,,,,1,3,3,3,0,0,3,2,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,4,"Orgullo,Agitación,Educación,Timidez,Sospecha,Cordialidad","Tensión,Aburrición,Amistad,Arrepentimiento,Compasión,Orgullo","Amistad,Sorpresa,Educación,Tensión,Impresión,Compasión",,
1985,Mujer,Bachillerato,Estrato 2,Colombia,Bogotá D.C.,Bogotá D.C.,4742,D,Tolerancia a la ambigüedad,3.5999999,Sí,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,,,,,,1,4,4,4,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"Sospecha,Dedicación,Educación,Amistad,Nostalgia,Vergüenza","Timidez,Emoción,Trabajo,Amistad,Compasión,Vergüenza","Nostalgia,Sorpresa,Orgullo,Extroversión,Sospecha,Cordialidad",,
1996,Mujer,Bachillerato,Estrato 1,Colombia,Cesar,Valledupar,406,C,Confianza,0,No,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,4,3,3,3,0,1,1,1,,1,,,1,,1,,3,3,3,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Impresión,Nostalgia,Imprudencia,Agitación,Sospecha,Aburrición","Extroversión,Arrepentimiento,Amistad,Dedicación,Compasión,Orgullo","Orgullo,Cordialidad,Nostalgia,Educación,Sospecha,Dedicación",,
1998,Hombre,Título universitario,Estrato 2,Cabo Verde,Bogotá D.C.,Bogotá D.C.,4375,W,Discriminización,.5,No,1,3,4,2,5,4,2,3,4,1,5,2,4,5,3,5,5,4,2,1,1,1,0,,1,1,,,,1,,5,1,4,1,1,4,2,4,1,5,5,4,2,1,2,1,4,2,2,4,4,4,2,5,4,"Compasión,Agitación,Sorpresa,Impresión,Educación,Disciplina","Tensión,Disciplina,Compasión,Arrepentimiento,Extroversión,Timidez","Educación,Timidez,Dedicación,Vergüenza,Inquietud,Trabajo",,
1996,Mujer,Bachillerato,Estrato 1,Colombia,Cesar,Valledupar,406,C,Tolerancia a la ambigüedad,3,No,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,1,1,1,1,1,,,1,,,,1,3,3,3,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Educación,Sorpresa,Emoción,Orgullo,Agitación,Disciplina","Compasión,Imprudencia,Aburrición,Sospecha,Sorpresa,Vergüenza","Arrepentimiento,Tensión,Timidez,Cordialidad,Disciplina,Amistad",,
1985,Mujer,Bachillerato,Estrato 1,Colombia,Atlántico,Soledad,7510,P,Tolerancia a la ambigüedad,3.4000001,Sí,3,1,3,1,1,2,3,1,1,1,2,2,1,2,1,3,1,2,1,1,0,1,1,,,1,1,1,,,,3,2,2,0,1,1,1,1,2,3,3,3,3,1,4,3,1,3,4,3,3,3,3,3,3,"Educación,Trabajo,Disciplina,Tensión,Vergüenza,Extroversión","Emoción,Tensión,Arrepentimiento,Timidez,Sospecha,Agitación","Disciplina,Amistad,Trabajo,Vergüenza,Arrepentimiento,Aburrición",,
1996,Mujer,Bachillerato,Estrato 1,Colombia,Cesar,Valledupar,406,C,Tolerancia a la ambigüedad,2.4000001,No,3,2,3,3,2,3,3,3,2,3,2,2,3,2,3,2,3,2,3,1,1,1,1,,,1,1,1,,,,3,3,2,0,0,3,3,3,3,2,2,2,2,2,2,2,3,3,3,3,2,2,3,2,2,"Aburrición,Sorpresa,Orgullo,Imprudencia,Impresión,Sospecha","Disciplina,Compasión,Cordialidad,Orgullo,Extroversión,Vergüenza","Timidez,Impresión,Aburrición,Extroversión,Cordialidad,Disciplina",,
1996,Mujer,Bachillerato,Estrato 1,Colombia,Cesar,Valledupar,406,C,Deshumanización,2,No,2,3,2,2,2,2,2,2,3,2,2,3,2,2,3,2,2,2,2,1,1,1,1,,,1,,,1,,1,3,3,3,0,0,3,3,3,3,3,3,3,3,2,3,3,2,3,2,2,3,3,2,3,3,"Dedicación,Arrepentimiento,Orgullo,Vergüenza,Educación,Trabajo","Compasión,Sorpresa,Orgullo,Nostalgia,Amistad,Emoción","Compasión,Amistad,Extroversión,Agitación,Timidez,Cordialidad",,
1992,Mujer,Técnico / Tecnológico,Estrato 2,Colombia,Atlántico,Soledad,8079,V,Discriminización,.33333334,Sí,4,2,2,4,3,2,2,2,3,2,3,2,2,3,1,3,2,1,3,0,1,1,0,1,,,,,,1,1,3,3,3,0,0,5,2,1,1,3,3,3,3,3,3,1,4,3,4,1,4,2,3,4,5,"Aburrición,Sospecha,Vergüenza,Nostalgia,Imprudencia,Sorpresa","Educación,Arrepentimiento,Nostalgia,Inquietud,Aburrición,Agitación","Agitación,Disciplina,Timidez,Arrepentimiento,Compasión,Nostalgia",,
1977,Mujer,Bachillerato,Estrato 3,Colombia,Bogotá D.C.,Bogotá D.C.,8187,M,Deshumanización,1,No,3,3,3,4,4,3,3,3,3,2,3,3,3,3,3,3,3,3,3,1,0,1,0,,1,,,,,1,1,3,3,3,1,0,2,3,2,3,3,3,4,3,3,3,4,4,4,4,4,4,4,4,4,4,"Tensión,Extroversión,Amistad,Arrepentimiento,Aburrición,Inquietud","Nostalgia,Disciplina,Emoción,Orgullo,Sospecha,Trabajo","Sorpresa,Tensión,Arrepentimiento,Aburrición,Emoción,Nostalgia",,
1993,Otro,Primaria,Estrato 3,Colombia,Bogotá D.C.,Bogotá D.C.,1422,R,Deshumanización,,Sí,2,2,2,2,1,2,1,1,3,3,1,2,3,1,2,3,1,3,3,0,0,0,0,1,,,,,1,1,,2,1,3,1,1,2,2,4,3,3,3,2,3,2,2,1,1,1,4,2,2,3,3,1,3,"Educación,Timidez,Inquietud,Compasión,Disciplina,Arrepentimiento","Cordialidad,Compasión,Arrepentimiento,Tensión,Extroversión,Aburrición","Compasión,Tensión,Impresión,Sospecha,Aburrición,Vergüenza",,
1996,Mujer,Bachillerato,Estrato 1,Colombia,Cesar,Valledupar,406,C,Deshumanización,2,No,3,3,3,3,2,3,3,3,3,3,3,3,3,3,2,3,3,3,3,1,1,1,1,,1,1,1,,,,,2,3,3,0,0,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,"Nostalgia,Aburrición,Agitación,Cordialidad,Educación,Amistad","Compasión,Arrepentimiento,Orgullo,Vergüenza,Amistad,Sorpresa","Extroversión,Impresión,Sospecha,Imprudencia,Inquietud,Disciplina",,
1990,Hombre,Técnico / Tecnológico,Estrato 1,Colombia,Atlántico,Galapa,3256,G,,,No,5,5,5,5,5,5,4,5,4,4,4,5,5,5,5,5,4,4,5,0,0,0,0,,,1,,1,,,1,2,3,3,1,1,3,3,3,2,3,3,3,3,3,3,4,4,4,4,4,4,4,3,4,4,"Educación,Timidez,Extroversión,Disciplina,Agitación,Trabajo","Tensión,Impresión,Nostalgia,Trabajo,Timidez,Emoción","Tensión,Amistad,Nostalgia,Aburrición,Imprudencia,Sospecha",,
1985,Otro,Primaria,Estrato 3,Anguilla,Bogotá D.C.,Bogotá D.C.,3142,H,Tolerancia a la ambigüedad,3.2,No,4,1,2,1,4,4,1,2,4,2,3,3,3,4,2,1,3,3,2,0,1,0,1,,,,1,1,,1,,2,5,2,0,1,2,4,2,4,2,5,1,4,4,4,4,2,5,4,1,4,4,4,2,2,"Inquietud,Sospecha,Imprudencia,Arrepentimiento,Impresión,Tensión","Agitación,Amistad,Trabajo,Dedicación,Sospecha,Arrepentimiento","Sospecha,Sorpresa,Timidez,Cordialidad,Disciplina,Educación",,
1968,Mujer,Bachillerato,Estrato 2,Colombia,Bogotá D.C.,Bogotá D.C.,1041,D,Confianza,.5,Sí,1,1,4,3,1,1,4,1,1,1,1,3,1,2,1,1,1,1,3,1,1,1,1,,,,1,1,1,,,3,3,3,0,1,2,1,1,4,4,4,4,4,4,4,5,5,3,2,4,3,5,3,4,4,"Nostalgia,Vergüenza,Impresión,Extroversión,Tensión,Aburrición","Tensión,Nostalgia,Imprudencia,Aburrición,Agitación,Vergüenza","Nostalgia,Agitación,Emoción,Timidez,Aburrición,Vergüenza",,
2000,Mujer,Técnico / Tecnológico,Estrato 3,Colombia,Bogotá D.C.,Bogotá D.C.,4446,S,Confianza,.75,Sí,4,3,3,3,3,3,4,4,1,2,3,3,2,1,2,2,3,3,2,1,1,1,0,,,1,1,,,1,,4,3,3,1,0,4,3,1,4,1,1,1,1,1,3,5,3,3,3,5,2,2,3,5,4,"Imprudencia,Timidez,Compasión,Vergüenza,Inquietud,Extroversión","Educación,Agitación,Compasión,Cordialidad,Orgullo,Emoción","Tensión,Imprudencia,Aburrición,Extroversión,Orgullo,Vergüenza",,
1996,Hombre,Técnico / Tecnológico,Estrato 1,Colombia,Atlántico,Galapa,2587,M,Confianza,1,Sí,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,5,4,4,4,0,1,1,1,,1,,,1,,,1,4,4,4,0,0,3,2,4,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,"Cordialidad,Sospecha,Extroversión,Emoción,Dedicación,Imprudencia","Arrepentimiento,Emoción,Educación,Tensión,Imprudencia,Agitación","Arrepentimiento,Dedicación,Emoción,Compasión,Orgullo,Agitación",,
1995,Mujer,Bachillerato,Estrato 2,Colombia,Bogotá D.C.,Bogotá D.C.,4696,A,Deshumanización,2.3299999,No,2,2,3,5,3,4,2,4,1,2,4,4,2,1,4,3,1,5,5,1,0,1,0,,,1,1,,,,1,4,4,4,1,1,4,1,3,2,3,2,1,2,3,2,4,4,3,3,4,4,4,1,3,4,"Cordialidad,Educación,Impresión,Emoción,Aburrición,Agitación","Tensión,Sorpresa,Vergüenza,Disciplina,Impresión,Trabajo","Educación,Trabajo,Disciplina,Vergüenza,Amistad,Orgullo",,
1966,Hombre,Título universitario,Estrato 3,Colombia,Bogotá D.C.,Bogotá D.C.,1617,G,Tolerancia a la ambigüedad,3.0999999,Sí,2,2,3,2,2,2,2,3,4,3,3,3,2,3,2,2,3,3,3,1,0,1,0,,1,,,,,1,1,3,3,3,1,1,2,4,3,3,3,3,3,4,3,3,3,3,3,4,3,3,4,3,3,4,"Impresión,Arrepentimiento,Imprudencia,Compasión,Amistad,Tensión","Vergüenza,Tensión,Inquietud,Trabajo,Orgullo,Compasión","Amistad,Extroversión,Impresión,Sospecha,Tensión,Emoción",,
1990,Mujer,Bachillerato,Estrato 1,Colombia,Bogotá D.C.,Bogotá D.C.,3484,C,Confianza,1,No,4,5,5,4,1,3,5,5,2,4,4,5,5,5,3,4,4,5,5,1,1,1,1,1,,,,1,,1,,4,5,4,1,1,5,5,5,5,4,5,5,4,4,4,5,5,5,4,5,5,4,4,3,5,"Cordialidad,Educación,Vergüenza,Orgullo,Inquietud,Tensión","Vergüenza,Cordialidad,Aburrición,Disciplina,Educación,Agitación","Imprudencia,Nostalgia,Timidez,Emoción,Compasión,Disciplina",,
1999,Mujer,Técnico / Tecnológico,Estrato 1,Colombia,Atlántico,Barranquilla,6278,P,,,No,2,3,3,4,3,3,3,3,2,3,3,4,3,3,3,3,3,4,3,1,0,1,1,1,,,,1,,1,,3,2,2,0,0,3,3,3,2,2,2,2,2,2,2,3,4,3,3,3,3,4,3,4,3,"Nostalgia,Orgullo,Amistad,Arrepentimiento,Emoción,Aburrición","Vergüenza,Sospecha,Arrepentimiento,Tensión,Nostalgia,Timidez","Aburrición,Sospecha,Arrepentimiento,Amistad,Imprudencia,Tensión",,
2003,Hombre,Bachillerato,Estrato 3,Colombia,Bogotá D.C.,Ninguna ,6532,J,Confianza,,Sí,4,4,3,4,4,3,4,4,4,3,3,4,3,4,4,4,4,4,4,0,0,0,0,,1,1,1,,,,,3,3,2,0,0,2,4,2,3,2,3,1,2,2,3,5,2,2,4,3,3,2,2,2,2,"Disciplina,Impresión,Amistad,Timidez,Inquietud,Aburrición","Imprudencia,Dedicación,Arrepentimiento,Inquietud,Aburrición,Agitación","Disciplina,Sospecha,Vergüenza,Trabajo,Orgullo,Amistad",,
2000,Hombre,Bachillerato,Estrato 1,Colombia,Atlántico,Piojó,4896,G,Discriminización,.63333333,No,3,3,4,3,3,3,4,3,3,4,4,4,4,3,4,3,3,3,4,1,1,1,1,,,1,1,,,1,,4,4,4,1,1,4,4,4,3,4,4,3,3,4,4,4,4,4,4,4,4,3,3,4,3,"Arrepentimiento,Extroversión,Nostalgia,Agitación,Aburrición,Vergüenza","Emoción,Educación,Compasión,Inquietud,Amistad,Trabajo","Imprudencia,Educación,Amistad,Extroversión,Inquietud,Agitación",,
1966,Hombre,Título universitario,Estrato 3,Colombia,Bogotá D.C.,Bogotá D.C.,1617,G,Confianza,,Sí,3,2,3,2,3,3,3,4,3,3,3,2,4,4,4,3,4,2,3,1,0,1,0,1,1,,,,,,1,4,3,3,1,1,3,2,1,2,3,3,4,2,4,3,4,4,4,3,4,4,3,3,3,4,"Nostalgia,Aburrición,Sorpresa,Agitación,Impresión,Amistad","Arrepentimiento,Sorpresa,Impresión,Vergüenza,Agitación,Aburrición","Orgullo,Emoción,Nostalgia,Trabajo,Agitación,Timidez",,
1984,Hombre,Bachillerato,Estrato 3,Colombia,Bogotá D.C.,Bogotá D.C.,6779,D,Tolerancia a la ambigüedad,,Sí,1,1,2,1,3,4,2,2,3,1,1,1,1,1,2,1,3,1,2,0,1,0,1,,,,1,,1,1,,1,2,1,1,1,1,1,1,3,1,1,3,4,1,1,3,4,3,3,4,3,3,5,3,3,"Orgullo,Trabajo,Tensión,Amistad,Sorpresa,Inquietud","Timidez,Orgullo,Tensión,Imprudencia,Sospecha,Arrepentimiento","Timidez,Agitación,Amistad,Orgullo,Cordialidad,Vergüenza",,
1995,Mujer,Bachillerato,Estrato 1,Colombia,Bogotá D.C.,Bogotá D.C.,4742,D,Tolerancia a la ambigüedad,3.0999999,No,3,2,4,4,4,3,4,4,3,4,5,4,4,3,5,1,4,4,1,1,0,0,0,1,,,,1,,1,,4,4,4,1,1,4,5,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"Sorpresa,Educación,Agitación,Trabajo,Disciplina,Amistad","Disciplina,Compasión,Vergüenza,Orgullo,Emoción,Extroversión","Impresión,Compasión,Amistad,Sorpresa,Educación,Extroversión",,
1994,Mujer,Bachillerato,Estrato 2,Colombia,Cundinamarca,Cajicá,7740,S,Confianza,.13,Sí,1,1,1,3,3,5,1,4,3,1,4,1,1,2,1,1,1,1,1,0,1,0,1,,,,,1,1,,1,3,3,3,0,0,2,3,2,2,5,2,2,2,2,3,5,5,4,4,5,5,4,5,2,5,"Timidez,Trabajo,Imprudencia,Educación,Arrepentimiento,Tensión","Aburrición,Trabajo,Imprudencia,Tensión,Educación,Agitación","Timidez,Imprudencia,Trabajo,Educación,Inquietud,Tensión",,
1954,Hombre,Técnico / Tecnológico,Estrato 4,Colombia,Bogotá D.C.,Bogotá D.C.,1524,S,Discriminización,.66666669,No,3,1,1,4,4,4,2,4,1,1,1,4,3,4,4,4,4,1,3,0,0,0,0,,,,1,1,1,,,4,4,3,1,0,2,1,2,2,3,2,1,3,4,3,3,2,2,4,4,4,2,3,2,4,"Arrepentimiento,Tensión,Compasión,Impresión,Sospecha,Trabajo","Imprudencia,Tensión,Amistad,Emoción,Inquietud,Nostalgia","Emoción,Cordialidad,Disciplina,Tensión,Sospecha,Trabajo",,
1959,Hombre,Título universitario,Estrato 4,Colombia,Bogotá D.C.,Bogotá D.C.,2138,L,Confianza,1,No,4,3,2,4,4,3,1,4,2,2,1,3,3,3,3,1,1,1,3,1,0,1,0,1,1,,,,,1,,2,3,3,1,0,2,3,3,4,1,3,3,3,2,4,3,4,3,2,4,1,1,3,3,3,"Timidez,Trabajo,Inquietud,Tensión,Orgullo,Agitación","Disciplina,Agitación,Cordialidad,Educación,Imprudencia,Aburrición","Sorpresa,Dedicación,Timidez,Emoción,Orgullo,Impresión",,
1981,Mujer,Título universitario,Estrato 4,Colombia,Bogotá D.C.,Bogotá D.C.,5421,G,,,No,1,1,4,4,4,4,4,1,1,3,3,4,4,1,1,4,3,1,3,1,1,1,1,1,,,1,1,,,,4,2,4,1,1,4,4,1,2,2,4,2,2,4,4,4,2,4,2,2,4,2,4,4,4,"Inquietud,Compasión,Aburrición,Agitación,Emoción,Disciplina","Inquietud,Impresión,Emoción,Disciplina,Dedicación,Compasión","Educación,Nostalgia,Amistad,Vergüenza,Timidez,Tensión",,
1987,Mujer,Bachillerato,Estrato 1,Colombia,Bogotá D.C.,Bogotá D.C.,1505,A,,,No,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,,1,,,,,1,1,3,3,3,0,0,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,"Nostalgia,Impresión,Sorpresa,Arrepentimiento,Amistad,Inquietud","Imprudencia,Impresión,Compasión,Dedicación,Cordialidad,Agitación","Amistad,Nostalgia,Arrepentimiento,Compasión,Disciplina,Cordialidad",,
1987,Mujer,Bachillerato,Estrato 1,Colombia,Bogotá D.C.,Bogotá D.C.,1505,A,,,No,4,3,4,3,3,3,4,4,4,4,3,4,3,4,4,3,3,3,3,1,0,1,1,,1,1,1,,,,,3,3,3,0,1,3,3,3,3,3,4,3,4,4,3,4,4,4,4,4,4,4,4,3,4,"Compasión,Sorpresa,Arrepentimiento,Aburrición,Tensión,Inquietud","Trabajo,Compasión,Disciplina,Cordialidad,Imprudencia,Impresión","Agitación,Tensión,Amistad,Sospecha,Cordialidad,Inquietud",,
1989,Mujer,Bachillerato,Estrato 3,Colombia,Cundinamarca,Beltrán,3104,H,Confianza,.13,Sí,1,3,4,3,3,1,2,2,3,3,2,3,2,1,3,1,2,2,3,1,0,1,1,1,,1,,,,1,,2,3,3,0,1,3,3,2,3,5,5,1,3,3,5,3,5,2,1,5,3,4,5,3,4,"Aburrición,Tensión,Agitación,Nostalgia,Dedicación,Orgullo","Compasión,Amistad,Educación,Disciplina,Timidez,Nostalgia","Imprudencia,Arrepentimiento,Aburrición,Agitación,Impresión,Dedicación",,
